Country Name,Country Code,2023
Aruba,ABW,1.79
Africa Eastern and Southern,AFE,
Afghanistan,AFG,
Africa Western and Central,AFW,
Angola,AGO,685.0202378
Albania,ALB,100.645
Andorra,AND,0.924709623
Arab World,ARB,
United Arab Emirates,ARE,3.6725
Argentina,ARG,296.2580417
Armenia,ARM,392.4763022
American Samoa,ASM,1
Antigua and Barbuda,ATG,2.7
Australia,AUS,1.505191066
Austria,AUT,0.924839558
Azerbaijan,AZE,1.7
Burundi,BDI,2574.051749
Belgium,BEL,0.924839558
Benin,BEN,606.6549823
Burkina Faso,BFA,606.5697502
Bangladesh,BGD,106.3094843
Bulgaria,BGR,1.808966667
Bahrain,BHR,0.376
"Bahamas, The",BHS,1
Bosnia and Herzegovina,BIH,1.8092028
Belarus,BLR,3.00735
Belize,BLZ,2
Bermuda,BMU,1
Bolivia,BOL,6.91
Brazil,BRA,4.994379763
Barbados,BRB,2
Brunei Darussalam,BRN,1.343079601
Bhutan,BTN,82.59927645
Botswana,BWA,13.59638333
Central African Republic,CAF,606.5697502
Canada,CAN,1.349908641
Central Europe and the Baltics,CEB,
Switzerland,CHE,0.89849
Channel Islands,CHI,0.804538907
Chile,CHL,840.0665267
China,CHN,7.083998423
Cote d'Ivoire,CIV,606.5697502
Cameroon,CMR,606.5697502
"Congo, Dem. Rep.",COD,2340.035704
"Congo, Rep.",COG,606.5697502
Colombia,COL,4325.955
Comoros,COM,454.9912367
Cabo Verde,CPV,101.8048125
Costa Rica,CRI,544.0507755
Caribbean small states,CSS,
Cuba,CUB,
Curacao,CUW,1.79
Cayman Islands,CYM,0.83333
Cyprus,CYP,0.924839558
Czechia,CZE,22.19808333
Germany,DEU,0.924839558
Djibouti,DJI,177.721
Dominica,DMA,2.7
Denmark,DNK,6.889702586
Dominican Republic,DOM,56.1576
Algeria,DZA,135.8429333
East Asia & Pacific (excluding high income),EAP,
Early-demographic dividend,EAR,
East Asia & Pacific,EAS,
Europe & Central Asia (excluding high income),ECA,
Europe & Central Asia,ECS,
Ecuador,ECU,1
"Egypt, Arab Rep.",EGY,30.6264137
Euro area,EMU,0.924839558
Eritrea,ERI,15.075
Spain,ESP,0.924839558
Estonia,EST,0.924839558
Ethiopia,ETH,54.60094807
European Union,EUU,
Fragile and conflict affected situations,FCS,
Finland,FIN,0.924839558
Fiji,FJI,2.250125
France,FRA,0.924839558
Faroe Islands,FRO,6.889702586
"Micronesia, Fed. Sts.",FSM,1
Gabon,GAB,606.5697502
United Kingdom,GBR,0.804538907
Georgia,GEO,2.627958333
Ghana,GHA,11.02040833
Gibraltar,GIB,0.804538907
Guinea,GIN,
"Gambia, The",GMB,61.09633301
Guinea-Bissau,GNB,606.5697502
Equatorial Guinea,GNQ,606.5697502
Greece,GRC,0.924839558
Grenada,GRD,2.7
Greenland,GRL,6.889702586
Guatemala,GTM,7.831974167
Guam,GUM,1
Guyana,GUY,208.5
High income,HIC,
"Hong Kong SAR, China",HKG,7.829583333
Honduras,HND,24.60164682
Heavily indebted poor countries (HIPC),HPC,
Croatia,HRV,0.924839558
Haiti,HTI,141.0359127
Hungary,HUN,353.0883333
IBRD only,IBD,
IDA & IBRD total,IBT,
IDA total,IDA,
IDA blend,IDB,
Indonesia,IDN,15236.88466
IDA only,IDX,
Isle of Man,IMN,0.804538907
India,IND,82.59927645
Not classified,INX,
Ireland,IRL,0.924839558
"Iran, Islamic Rep.",IRN,42000
Iraq,IRQ,1312.5
Iceland,ISL,137.9429524
Israel,ISR,3.667374716
Italy,ITA,0.924839558
Jamaica,JAM,154.158779
Jordan,JOR,0.71
Japan,JPN,140.4911001
Kazakhstan,KAZ,456.165
Kenya,KEN,139.8463838
Kyrgyz Republic,KGZ,87.85612559
Cambodia,KHM,4110.652746
Kiribati,KIR,1.505191066
St. Kitts and Nevis,KNA,2.7
"Korea, Rep.",KOR,1305.6625
Kuwait,KWT,0.307185351
Latin America & Caribbean (excluding high income),LAC,
Lao PDR,LAO,17688.87359
Lebanon,LBN,
Liberia,LBR,
Libya,LBY,4.812883333
St. Lucia,LCA,2.7
Latin America & Caribbean,LCN,
Least developed countries: UN classification,LDC,
Low income,LIC,
Liechtenstein,LIE,
Sri Lanka,LKA,327.5065333
Lower middle income,LMC,
Low & middle income,LMY,
Lesotho,LSO,18.45024418
Late-demographic dividend,LTE,
Lithuania,LTU,0.924839558
Luxembourg,LUX,0.924839558
Latvia,LVA,0.924839558
"Macao SAR, China",MAC,8.063390083
St. Martin (French part),MAF,0.924839558
Morocco,MAR,10.1314261
Monaco,MCO,0.924839558
Moldova,MDA,18.16393776
Madagascar,MDG,4429.579214
Maldives,MDV,15.38679435
Middle East & North Africa,MEA,
Mexico,MEX,17.75871667
Marshall Islands,MHL,1
Middle income,MIC,
North Macedonia,MKD,56.94719167
Mali,MLI,606.5697502
Malta,MLT,0.924839558
Myanmar,MMR,2100
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,0.924709623
Mongolia,MNG,3465.736536
Northern Mariana Islands,MNP,1
Mozambique,MOZ,63.88583333
Mauritania,MRT,36.48916667
Mauritius,MUS,45.267225
Malawi,MWI,1161.094367
Malaysia,MYS,4.560623432
North America,NAC,
Namibia,NAM,18.44630833
New Caledonia,NCL,110.3471713
Niger,NER,606.5697502
Nigeria,NGA,
Nicaragua,NIC,36.44119428
Netherlands,NLD,0.924839558
Norway,NOR,10.56333333
Nepal,NPL,132.1154601
Nauru,NRU,1.505191066
New Zealand,NZL,1.628433333
OECD members,OED,
Oman,OMN,0.3845
Other small states,OSS,
Pakistan,PAK,280.3561117
Panama,PAN,1
Peru,PER,3.74382621
Philippines,PHL,55.63036322
Palau,PLW,1
Papua New Guinea,PNG,3.589622749
Poland,POL,4.203666667
Pre-demographic dividend,PRE,
Puerto Rico,PRI,1
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,0.924839558
Paraguay,PRY,7288.872054
West Bank and Gaza,PSE,
Pacific island small states,PSS,
Post-demographic dividend,PST,
French Polynesia,PYF,110.3471713
Qatar,QAT,3.64
Romania,ROU,4.574291667
Russian Federation,RUS,85.16200833
Rwanda,RWA,1160.098694
South Asia,SAS,
Saudi Arabia,SAU,3.75
Sudan,SDN,
Senegal,SEN,606.5697502
Singapore,SGP,1.342766667
Solomon Islands,SLB,8.375596776
Sierra Leone,SLE,21.30487511
El Salvador,SLV,1
San Marino,SMR,0.924709623
Somalia,SOM,
Serbia,SRB,108.4026917
Sub-Saharan Africa (excluding high income),SSA,
South Sudan,SSD,930.3314295
Sub-Saharan Africa,SSF,
Small states,SST,
Sao Tome and Principe,STP,22.65842479
Suriname,SUR,36.77586917
Slovak Republic,SVK,0.924839558
Slovenia,SVN,0.924839558
Sweden,SWE,10.6101613
Eswatini,SWZ,18.45359249
Sint Maarten (Dutch part),SXM,1.79
Seychelles,SYC,14.0181107
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,1
Chad,TCD,606.5697502
East Asia & Pacific (IDA & IBRD countries),TEA,
Europe & Central Asia (IDA & IBRD countries),TEC,
Togo,TGO,606.5697502
Thailand,THA,34.80218858
Tajikistan,TJK,10.844525
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,
Timor-Leste,TLS,1
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,2.363698818
South Asia (IDA & IBRD),TSA,
Sub-Saharan Africa (IDA & IBRD countries),TSS,
Trinidad and Tobago,TTO,6.750262379
Tunisia,TUN,3.106166667
Turkiye,TUR,23.73856612
Tuvalu,TUV,
Tanzania,TZA,
Uganda,UGA,3726.14046
Ukraine,UKR,36.57380812
Upper middle income,UMC,
Uruguay,URY,38.82391667
United States,USA,1
Uzbekistan,UZB,11734.83342
St. Vincent and the Grenadines,VCT,2.7
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,1
Viet Nam,VNM,23787.31917
Vanuatu,VUT,119.1125
World,WLD,
Samoa,WSM,2.73843913
Kosovo,XKX,0.924709623
"Yemen, Rep.",YEM,1355.116379
South Africa,ZAF,18.45024418
Zambia,ZMB,20.21201787
Zimbabwe,ZWE,3509.17222
